code,name,market,industry,listed
0220W0,한화머시너리앤서비스홀딩스,KOSPI,기타 금융업,2026-08-25
279570,케이뱅크,KOSPI,은행 및 저축기관,2026-03-05
217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15
0126Z0,삼성에피스홀딩스,KOSPI,기타 금융업,2025-11-24
0120G0,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24
317450,명인제약,KOSPI,의약품 제조업,2025-10-01
439260,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01
0030R0,대신밸류리츠,KOSPI,신탁업 및 집합투자업,2025-07-10
483650,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22
480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17
031210,서울보증보험,KOSPI,보험업,2025-03-14
064400,LG씨엔에스,KOSPI,컴퓨터 프로그래밍  시스템 통합 및 관리업,2025-02-05
499790,GS피앤엘,KOSPI,기타 금융업,2024-12-23
484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2024-12-16
415640,KB발해인프라,KOSPI,신탁업 및 집합투자업,2024-11-29
475560,더본코리아,KOSPI,상품 종합 도매업,2024-11-06
489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2024-09-27
079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2024-08-19
487570,HS효성,KOSPI,기타 금융업,2024-07-29
062040,산일전기,KOSPI,전동기  발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2024-07-29
462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2024-07-11
481850,신한글로벌액티브리츠,KOSPI,신탁업 및 집합투자업,2024-07-01
034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2024-06-24
443060,HD현대마린솔루션,KOSPI,건축기술  엔지니어링 및 관련 기술 서비스업,2024-05-08
475150,SK이터닉스,KOSPI,건물 건설업,2024-03-29
278470,에이피알,KOSPI,기타 화학제품 제조업,2024-02-27
066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2024-01-29
